run_timestamp,event_timestamp,alert_type,ip,user,rule,raw_line
2025-11-12 21:31:02.151834,2025-10-29 22:15:45,offhours,,admin,evento fuera de horario laboral (9 - 18),Oct 29 22:15:45 server1 sudo:   admin : TTY=pts/0 ; PWD=/home/admin ; USER=root ; COMMAND=/bin/systemctl restart apache2
2025-11-12 21:31:02.151834,2025-10-30 02:41:07,offhours,200.55.22.100,test,evento fuera de horario laboral (9 - 18),Oct 30 02:41:07 server1 sshd[1340]: Failed password for invalid user test from 200.55.22.100 port 60233 ssh2
2025-11-12 21:31:02.151834,2025-10-29 18:32:45,bruteforce,185.23.45.11,root,posible fuerza bruta: >=3 intentos fallidos en 10 minutos,Oct 29 18:32:45 server1 sshd[1245]: Failed password for root from 185.23.45.11 port 54421 ssh2
2025-11-12 21:31:02.151834,2025-10-29 18:32:48,bruteforce,185.23.45.11,root,posible fuerza bruta: >=3 intentos fallidos en 10 minutos,Oct 29 18:32:48 server1 sshd[1245]: Failed password for root from 185.23.45.11 port 54421 ssh2
2025-11-12 21:31:02.151834,2025-10-29 18:32:51,bruteforce,185.23.45.11,root,posible fuerza bruta: >=3 intentos fallidos en 10 minutos,Oct 29 18:32:51 server1 sshd[1245]: Failed password for root from 185.23.45.11 port 54421 ssh2
2025-11-12 21:52:34.212686,2025-10-29 22:15:45,offhours,,admin,evento fuera de horario laboral (9 - 18),Oct 29 22:15:45 server1 sudo:   admin : TTY=pts/0 ; PWD=/home/admin ; USER=root ; COMMAND=/bin/systemctl restart apache2
2025-11-12 21:52:34.212686,2025-10-30 02:41:07,offhours,200.55.22.100,test,evento fuera de horario laboral (9 - 18),Oct 30 02:41:07 server1 sshd[1340]: Failed password for invalid user test from 200.55.22.100 port 60233 ssh2
2025-11-12 21:52:34.212686,2025-10-29 18:32:45,bruteforce,185.23.45.11,root,posible fuerza bruta: >=3 intentos fallidos en 10 minutos,Oct 29 18:32:45 server1 sshd[1245]: Failed password for root from 185.23.45.11 port 54421 ssh2
2025-11-12 21:52:34.212686,2025-10-29 18:32:48,bruteforce,185.23.45.11,root,posible fuerza bruta: >=3 intentos fallidos en 10 minutos,Oct 29 18:32:48 server1 sshd[1245]: Failed password for root from 185.23.45.11 port 54421 ssh2
2025-11-12 21:52:34.212686,2025-10-29 18:32:51,bruteforce,185.23.45.11,root,posible fuerza bruta: >=3 intentos fallidos en 10 minutos,Oct 29 18:32:51 server1 sshd[1245]: Failed password for root from 185.23.45.11 port 54421 ssh2
