raw_line,ip,user,event,timestamp
Oct 30 10:10:10 server1 sshd[1111]: Failed password for root from 45.23.11.90 port 54421 ssh2,45.23.11.90,root,failed_login,2025-10-30 10:10:10
Oct 30 10:10:12 server1 sshd[1111]: Failed password for root from 45.23.11.90 port 54421 ssh2,45.23.11.90,root,failed_login,2025-10-30 10:10:12
Oct 30 10:10:14 server1 sshd[1111]: Failed password for root from 45.23.11.90 port 54421 ssh2,45.23.11.90,root,failed_login,2025-10-30 10:10:14
Oct 30 10:10:30 server1 sshd[1120]: Accepted password for root from 45.23.11.90 port 54421 ssh2,45.23.11.90,root,successful_login,2025-10-30 10:10:30
Oct 30 11:15:01 server1 CRON[2001]: (root) CMD (apt update),,root,cron_job,2025-10-30 11:15:01
Oct 30 11:15:02 server1 sudo: admin : TTY=pts/0 ; PWD=/home/admin ; USER=root ; COMMAND=/bin/systemctl restart apache2,,admin,sudo_command,2025-10-30 11:15:02
Oct 30 12:21:55 server1 sshd[2200]: Failed password for test from 200.55.22.100 port 60022 ssh2,200.55.22.100,test,failed_login,2025-10-30 12:21:55
Oct 30 12:22:02 server1 sshd[2201]: Failed password for test from 200.55.22.100 port 60022 ssh2,200.55.22.100,test,failed_login,2025-10-30 12:22:02
Oct 30 13:18:33 server1 sshd[3000]: Accepted password for admin from 192.168.0.25 port 60111 ssh2,192.168.0.25,admin,successful_login,2025-10-30 13:18:33
"192.168.0.25 - - [30/Oct/2025:13:20:01 +0000] ""GET /admin HTTP/1.1"" 200 1542 ""-"" ""Mozilla/5.0""",192.168.0.25,,web_request,2025-10-30 13:20:01
"185.23.45.11 - - [30/Oct/2025:13:22:10 +0000] ""GET /wp-login.php HTTP/1.1"" 404 213 ""-"" ""curl/7.64.1""",185.23.45.11,,web_request,2025-10-30 13:22:10
